DNA_kit	taxon	n	qPCR_mean	qPCR_sd	NGS_mean	NGS_sd	expected_abundance	mean_NGS_minus_qPCR	mean_NGS_minus_qPCR_pct_point	mean_relative_deviation_from_qPCR_pct	mean_abs_NGS_minus_qPCR_pct_point	NGS_bias_from_expected	qPCR_bias_from_expected
QIAamp	Cutaneotrichosporon_dermatis	4	0.06757363575884463	0.03501722083393325	0.22245313038172465	0.012704066215834016	0.1	0.15487949462288003	15.487949462288002	380.23559809200674	15.487949462288002	0.12245313038172465	-0.03242636424115537
Zymo	Aspergillus_fumigatus	4	0.1395183832739813	0.005603149441530646	0.030514503841804555	0.003439683118120263	0.1	-0.10900387943217676	-10.900387943217677	-78.12152374645333	10.900387943217677	-0.06948549615819545	0.0395183832739813
Zymo	Cryptococcus_neoformans	4	0.2565487117310369	0.01621195896936413	0.14599531383430656	0.006395975923133476	0.1	-0.11055339789673035	-11.055339789673035	-43.02824112601647	11.055339789673035	0.04599531383430655	0.15654871173103688
Zymo	Trichophyton_interdigitale	4	0.012875284239772525	0.0021352565282213554	0.004202216625402073	8.343504074128078e-4	0.1	-0.008673067614370452	-0.8673067614370453	-66.81653338999973	0.8673067614370453	-0.09579778337459793	-0.08712471576022748
Zymo	Penicillium_chrysogenum	4	0.13534603605129017	0.030655390523029027	0.13681375254915307	0.008556821424345712	0.1	0.001467716497862908	0.14677164978629087	4.588159446584025	2.510889287648533	0.03681375254915306	0.035346036051290164
Zymo	Fusarium_keratoplasticum	4	0.009345645594837419	0.00396033540511165	0.0017574225553117365	2.461417271096789e-4	0.1	-0.007588223039525681	-0.7588223039525681	-78.95918281667679	0.7588223039525681	-0.09824257744468827	-0.09065435440516259
Zymo	Candida_albicans	4	0.16714457848631792	0.030171873548877803	0.30068875676389956	0.010036823274844092	0.1	0.13354417827758164	13.354417827758162	85.1459842281415	13.354417827758162	0.20068875676389955	0.06714457848631791
Zymo	Nakaseomyces_glabratus	4	0.11653670306763492	0.02730963167952455	0.09848612671812956	0.005198305750829287	0.1	-0.01805057634950535	-1.805057634950535	-10.292236743952998	3.1048111657359736	-0.0015138732818704426	0.01653670306763491
Zymo	Malassezia_globosa	4	0.009345645594837419	0.00396033540511165	6.38423840713818e-5	3.866144497327792e-5	0.1	-0.009281803210766036	-0.9281803210766035	-99.23519062368106	0.9281803210766035	-0.09993615761592863	-0.09065435440516259
Zymo	Saccharomyces_cerevisiae	4	0.04495706576028813	0.006944080621693184	0.05251321664618106	0.0051812520512818545	0.1	0.007556150885892933	0.7556150885892933	18.397438874674723	0.7839960841764103	-0.047486783353818944	-0.05504293423971188
Zymo	Cutaneotrichosporon_dermatis	4	0.10838194620000324	0.02495903601579078	0.22896484808174045	0.022042114821771885	0.1	0.1205829018817372	12.058290188173721	118.97605757587272	12.058290188173721	0.12896484808174044	0.008381946200003237
