DNA_kit	taxon	n	mean_abundance	sd_abundance	se_abundance	expected_abundance	bias	relative_deviation_pct	measurement
QIAamp	Trichophyton_interdigitale	4	0.005691938797838686	7.267590989587414e-4	3.633795494793707e-4	0.1	-0.09430806120216131	-94.30806120216131	NGS ITSx_PE
QIAamp	Penicillium_chrysogenum	4	0.13357151602394204	0.0017289764645004682	8.644882322502341e-4	0.1	0.03357151602394204	33.57151602394204	NGS ITSx_PE
QIAamp	Fusarium_keratoplasticum	4	0.002089898225293275	3.1026602182239937e-4	1.5513301091119969e-4	0.1	-0.09791010177470673	-97.91010177470673	NGS ITSx_PE
QIAamp	Candida_albicans	4	0.2890003042300189	0.009736036272294002	0.004868018136147001	0.1	0.18900030423001887	189.00030423001886	NGS ITSx_PE
QIAamp	Nakaseomyces_glabratus	4	0.11403483018129162	0.0037544654178352684	0.0018772327089176342	0.1	0.014034830181291619	14.03483018129162	NGS ITSx_PE
QIAamp	Malassezia_globosa	4	1.1845164794445111e-5	1.4704937443694445e-5	7.3524687218472225e-6	0.1	-0.09998815483520557	-99.98815483520556	NGS ITSx_PE
QIAamp	Saccharomyces_cerevisiae	4	0.04303469921544929	0.0030025062431203336	0.0015012531215601668	0.1	-0.05696530078455071	-56.965300784550706	NGS ITSx_PE
QIAamp	Cutaneotrichosporon_dermatis	4	0.2227622692565145	0.01266018370530698	0.00633009185265349	0.1	0.12276226925651448	122.76226925651447	NGS ITSx_PE
Zymo	Aspergillus_fumigatus	4	0.030490648889729514	0.003469776811923692	0.001734888405961846	0.1	-0.06950935111027048	-69.50935111027047	NGS ITSx_PE
Zymo	Cryptococcus_neoformans	4	0.14584912062657496	0.006130441723721419	0.0030652208618607095	0.1	0.04584912062657495	45.84912062657495	NGS ITSx_PE
Zymo	Trichophyton_interdigitale	4	0.00405707486339896	8.464537200827327e-4	4.232268600413664e-4	0.1	-0.09594292513660105	-95.94292513660105	NGS ITSx_PE
Zymo	Penicillium_chrysogenum	4	0.1365901956010944	0.008555034500002194	0.004277517250001097	0.1	0.03659019560109439	36.590195601094386	NGS ITSx_PE
Zymo	Fusarium_keratoplasticum	4	0.001760906236479443	2.4641132346973254e-4	1.2320566173486627e-4	0.1	-0.09823909376352057	-98.23909376352056	NGS ITSx_PE
Zymo	Candida_albicans	4	0.30079724520062495	0.010024338950183663	0.005012169475091832	0.1	0.20079724520062495	200.79724520062493	NGS ITSx_PE
Zymo	Nakaseomyces_glabratus	4	0.09857012605873508	0.005183977084208582	0.002591988542104291	0.1	-0.0014298739412649253	-1.4298739412649253	NGS ITSx_PE
Zymo	Malassezia_globosa	4	6.396664890388236e-5	3.872591220742587e-5	1.9362956103712934e-5	0.1	-0.09993603335109612	-99.93603335109611	NGS ITSx_PE
Zymo	Saccharomyces_cerevisiae	4	0.05253303919613679	0.005187742002880861	0.0025938710014404304	0.1	-0.047466960803863215	-47.46696080386321	NGS ITSx_PE
Zymo	Cutaneotrichosporon_dermatis	4	0.22928767667832203	0.02213694469393422	0.01106847234696711	0.1	0.12928767667832203	129.28767667832201	NGS ITSx_PE
DNeasy	Aspergillus_fumigatus	4	0.03227212928384955	0.0028483099774930525	0.0014241549887465262	0.1	-0.06772787071615045	-67.72787071615045	NGS ITSx_SE
DNeasy	Cryptococcus_neoformans	4	0.14462921901786185	0.003468336328952623	0.0017341681644763116	0.1	0.04462921901786185	44.62921901786185	NGS ITSx_SE
DNeasy	Trichophyton_interdigitale	4	0.004720654337017174	6.596440342806284e-4	3.298220171403142e-4	0.1	-0.09527934566298284	-95.27934566298283	NGS ITSx_SE
DNeasy	Penicillium_chrysogenum	4	0.12807152429398838	0.012368608873715407	0.0061843044368577035	0.1	0.028071524293988376	28.071524293988375	NGS ITSx_SE
DNeasy	Fusarium_keratoplasticum	4	0.0018516114791214443	3.229890998055552e-4	1.614945499027776e-4	0.1	-0.09814838852087857	-98.14838852087856	NGS ITSx_SE
DNeasy	Candida_albicans	4	0.2978371243995662	0.007502253421049705	0.0037511267105248525	0.1	0.19783712439956622	197.8371243995662	NGS ITSx_SE
DNeasy	Nakaseomyces_glabratus	4	0.11199945620065677	0.0028459090278233562	0.0014229545139116781	0.1	0.01199945620065676	11.999456200656761	NGS ITSx_SE
DNeasy	Malassezia_globosa	4	3.8128646051778703e-6	7.625729210355741e-6	3.8128646051778703e-6	0.1	-0.09999618713539483	-99.99618713539483	NGS ITSx_SE
DNeasy	Saccharomyces_cerevisiae	4	0.06189918889763178	0.0036827275120438485	0.0018413637560219243	0.1	-0.03810081110236822	-38.10081110236822	NGS ITSx_SE
DNeasy	Cutaneotrichosporon_dermatis	4	0.2167152792257017	0.011884861578500484	0.005942430789250242	0.1	0.11671527922570168	116.71527922570168	NGS ITSx_SE
QIAamp	Aspergillus_fumigatus	4	0.03384130803672303	0.0013557222746855635	6.778611373427818e-4	0.1	-0.06615869196327698	-66.158691963276965	NGS ITSx_SE
QIAamp	Cryptococcus_neoformans	4	0.15610609053529484	0.006381708142264697	0.0031908540711323486	0.1	0.056106090535294834	56.106090535294825	NGS ITSx_SE
QIAamp	Trichophyton_interdigitale	4	0.00589286984488141	7.469967780134192e-4	3.734983890067096e-4	0.1	-0.0941071301551186	-94.1071301551186	NGS ITSx_SE
QIAamp	Penicillium_chrysogenum	4	0.1336998369280057	0.001682280408188008	8.41140204094004e-4	0.1	0.03369983692800568	33.69983692800568	NGS ITSx_SE
QIAamp	Fusarium_keratoplasticum	4	0.0020969623878788197	3.007397323277516e-4	1.503698661638758e-4	0.1	-0.09790303761212119	-97.90303761212118	NGS ITSx_SE
QIAamp	Candida_albicans	4	0.2889420135776909	0.009718016349635176	0.004859008174817588	0.1	0.1889420135776909	188.94201357769086	NGS ITSx_SE
QIAamp	Nakaseomyces_glabratus	4	0.11394975803822244	0.003788678917084576	0.001894339458542288	0.1	0.013949758038222432	13.949758038222432	NGS ITSx_SE
QIAamp	Malassezia_globosa	4	1.1818198469714971e-5	1.4672364423010212e-5	7.336182211505106e-6	0.1	-0.0999881818015303	-99.9881818015303	NGS ITSx_SE
QIAamp	Saccharomyces_cerevisiae	4	0.04300621207110848	0.00299317482120416	0.00149658741060208	0.1	-0.05699378792889152	-56.993787928891514	NGS ITSx_SE
QIAamp	Cutaneotrichosporon_dermatis	4	0.22245313038172465	0.012704066215834016	0.006352033107917008	0.1	0.12245313038172465	122.45313038172463	NGS ITSx_SE
Zymo	Aspergillus_fumigatus	4	0.030514503841804555	0.003439683118120263	0.0017198415590601315	0.1	-0.06948549615819545	-69.48549615819545	NGS ITSx_SE
Zymo	Cryptococcus_neoformans	4	0.14599531383430656	0.006395975923133476	0.003197987961566738	0.1	0.04599531383430655	45.99531383430655	NGS ITSx_SE
