feature_id	taxonomy_method	Genus	Species	taxon_string	run_id	preprocess_method	read_strategy	Paired	Trimm
5187486fe872390b9182d5481d070c1e	CustomDB BLAST	Penicillium	Penicillium_chrysogenum	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_chrysogenum	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
52e9f5f2067648d12ec4ece62907a916	CustomDB BLAST	Cryptococcus	Cryptococcus_neoformans	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
52ecfb22e1c990982f5951c06b4908b3	CustomDB BLAST	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
5302560500e967552b1490312b4bb3b3	CustomDB BLAST	Trichophyton	Trichophyton_interdigitale	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Arthrodermataceae; g__Trichophyton; s__Trichophyton_interdigitale	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
53926185040b69b43d226af323a0598e	CustomDB BLAST	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
5508856d9d35057c551dd5960df94f40	CustomDB BLAST	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
5535856acc809af76ab3ddb22e9e211d	CustomDB BLAST	Candida	Candida_albicans	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__Candida_albicans	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
55c1f51cc4845985dae3c90e77b5d5b1	CustomDB BLAST	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
567a9deab0960d0e2e0fb43ebc9b535e	CustomDB BLAST	Aspergillus	Aspergillus_fumigatus	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
56a66d4f4883495fe6e8252edcc6c71c	CustomDB BLAST	Fusarium	Fusarium_keratoplasticum	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
56b3fd0a76a57716fa9dc86ef499f86a	CustomDB BLAST	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
56c2041c40052605a6924e3e9ceef831	CustomDB BLAST	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
57953a259caf82bc29a84735e0ceb763	CustomDB BLAST	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
579ecb5e770eff08feca9199a9d1b0c7	CustomDB BLAST	Candida	Candida_albicans	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__Candida_albicans	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
588b3566dfb1cd5eec4c04e15e8a68e4	CustomDB BLAST	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
58b2e2109c1625d12106aa0c3bbdc3d8	CustomDB BLAST	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
593628bb9050300495d659b459fd5aa3	CustomDB BLAST	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
