Method	DNA_kit	taxon	NGS_mean	NGS_sd	NGS_bias	NGS_relative_deviation_pct	qPCR_mean	qPCR_sd	qPCR_bias	qPCR_relative_deviation_pct	mean_difference_NGS_minus_qPCR	absolute_mean_difference
Cutadapt_PE	DNeasy	Nakaseomyces_glabratus	0.1115195024592541	0.00328901047231471	0.011519502459254094	11.519502459254094	0.06574358012552015	0.0075336347494921125	-0.03425641987447986	-34.25641987447986	0.045775922333733954	0.045775922333733954
Cutadapt_PE	DNeasy	Malassezia_globosa	0	0	-0.1	-100	0.001292170178546565	0.00061702973063509285	-0.09870782982145344	-98.70782982145344	-0.001292170178546565	0.001292170178546565
Cutadapt_PE	DNeasy	Saccharomyces_cerevisiae	0.06236414060108279	0.0036562052738573028	-0.03763585939891721	-37.63585939891721	0.025012665295906848	0.00731181717440097	-0.07498733470409316	-74.98733470409316	0.03735147530517595	0.03735147530517595
Cutadapt_PE	DNeasy	Cutaneotrichosporon_dermatis	0.22455013616312158	0.012761772673991421	0.12455013616312158	124.55013616312156	0.04385995634332456	0.005618402681530939	-0.056140043656675444	-56.140043656675445	0.18069017981979701	0.18069017981979701
Cutadapt_PE	QIAamp	Aspergillus_fumigatus	0.03215371638416829	0.0015339503664700967	-0.06784628361583171	-67.84628361583171	0.0843784856156913	0.012283848275235133	-0.015621514384308699	-15.6215143843087	-0.05222476923152301	0.05222476923152301
Cutadapt_PE	QIAamp	Cryptococcus_neoformans	0.15689426521399663	0.0073248004005831875	0.056894265213996625	56.89426521399662	0.1375383356292926	0.01282836579582385	0.037538335629292596	37.5383356292926	0.01935592958470403	0.01935592958470403
Cutadapt_PE	QIAamp	Trichophyton_interdigitale	0.005923790653013338	8.599806924846107e-4	-0.09407620934698667	-94.07620934698666	0.008676233590709294	0.0036027747645069295	-0.09132376640929071	-91.32376640929071	-0.0027524429376959564	0.0027524429376959564
Cutadapt_PE	QIAamp	Penicillium_chrysogenum	0.12349654020522884	0.0028338495065194044	0.02349654020522883	23.49654020522883	0.08259872516887491	0.03655705122216194	-0.017401274831125094	-17.401274831125093	0.040897815036353924	0.040897815036353924
Cutadapt_PE	QIAamp	Fusarium_keratoplasticum	0.0021536573765255623	2.4861081191500454e-4	-0.09784634262347444	-97.84634262347444	0.0015760705582331326	3.6504767363597704e-4	-0.09842392944176687	-98.42392944176687	5.775868182924296e-4	5.775868182924296e-4
Cutadapt_PE	QIAamp	Candida_albicans	0.290619447166919	0.010536313943969694	0.190619447166919	190.61944716691897	0.4848567294285593	0.09623880294999251	0.3848567294285593	384.8567294285593	-0.19423728226164028	0.19423728226164028
