feature_id	taxonomy_method	Genus	Species	taxon_string	run_id	preprocess_method	read_strategy	Paired	Trimm	Genus_original	Species_original
7afb59c70eff2cec5a071dd7c3ca79e0	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
1d1e47a562efc72e0e1a703adb1156bc	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
11472a6b13e3d38e37aa6d6f3b131991	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
7243d6f6c59327bcf48abb33a65296e7	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
5105a2d6db57cdbabd078e95db2396c5	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
90aa0385993cdfbec9b8925a1163afb6	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
955eb7ae0fe2a3213438ef5bec2de66e	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
c97fecfe6785166d168fafdd986ee02f	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
c0b1830e2feafc77fb275d5a16f99809	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
5302560500e967552b1490312b4bb3b3	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
f235e5de715614a0b7c2b48197a6a8ba	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
8c82b71188e096be2feb08fd7d64d6a6	UNITE+BLAST	Leucosporidium	Leucosporidium_intermedium	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Leucosporidium	Leucosporidium_intermedium
8578ebd1501eab5abc643bb43fb0b7e2	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
5aa08add5073423bc935416fc4122a79	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
75107df2ba22157d21ca3da014ea641a	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
934f533a78b5de1479b59f1a682d064c	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
2ebd8a5b8c3455f415eca2f216a9d915	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
26c3adb423a4d6b98b84d34fa5beca3f	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
fc7fa41febb165d9e2c1aa251fe03adb	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
e09cee250683d1d9c0efe6766aea6426	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
04054fce3ae97d78e67d2d454985add2	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
8a52693c2a3066f0951f6e0ab114cf44	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
96800d25db2a29d576ee27c9b1735e9f	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
a9a8701bb82e83502dac035e738a9a66	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
43b699344cd30824e9b375638111b901	UNITE+BLAST	Fusarium	Fusarium_oxysporum	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fusarium	Fusarium_oxysporum
f68813f6ebcb8f7323b15cb6dad97526	UNITE+BLAST	Trechispora	Unclassified	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Trechispora	Unclassified
091b9ab07282fb2810730607e7c73a6b	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
6fbeed64732e5d21b16b552ce54cbdab	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
725402e2a81677678ca9799ecc96fe7f	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
870b996b7364a3020227bc4b918ba54f	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
194c5d7ddd16e9c0363bffc3aef8ceb8	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
85d8f5af58655f5e9a0875198e40a4cf	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
eca677b652afb80f02a64e9a83fef553	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
25d556970166dcb7050422023be88e22	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
b818ea92d26b8c0d7b99eb77906b9e01	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
7b3895e4ce4378f120ee488c628004dc	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
615431307bb72c4d99dcb3c243d810db	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
b67b81c102e2f5fa366b3d4d0869f235	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
638e7ccf3419acc06aafd317364cba75	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
cfa201d304dab9c66d991e37660ea7cd	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
e2708925a7f42bb9e1f62f04f1ee3e26	UNITE+BLAST	Lecanorales_o	Lecanorales_o	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Lecanorales_o	Lecanorales_o
0c71e40860c006ffbe35af9fd3d7727b	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
b1b896a1775460c058fc891882a5bad8	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
9b515710aedd7956e1b33b0f43a5da4d	UNITE+BLAST	Ascomycota_p	Ascomycota_p	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Ascomycota_p	Ascomycota_p
8f5b156b2473d6552ed30cec420b2b02	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
ff7f232a0ba2b8cdee78935456caded9	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
32be290b5fe51f5e4611e2e1a37fa1db	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
119831b712be8db7b70c0d6d950624da	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
ef25c954c06d510896f91b6ee3f9d1aa	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
6a9c03927332a86761ef8140c19e76a2	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
5cae4f6bc86eca0f1eedf3d66b889b17	UNITE+BLAST	Fungi_k	Fungi_k	NA	fig4_q20_SE_cutadapt_unite	Cutadapt	SE	SE	Cutadapt	Fungi_k	Fungi_k
