Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
4Z_1	(18.0, 1.0)	(19.0, 3.0)	(20.0, 8.0)	(21.0, 17.0)	(22.0, 14.0)	(23.0, 30.0)	(24.0, 32.0)	(25.0, 51.0)	(26.0, 82.0)	(27.0, 92.0)	(28.0, 83.0)	(29.0, 113.0)	(30.0, 175.0)	(31.0, 195.0)	(32.0, 304.0)	(33.0, 416.0)	(34.0, 705.0)	(35.0, 1823.0)	(36.0, 3107.0)	(37.0, 29763.0)	(38.0, 86443.0)			
4Z_2	(16.0, 2.0)	(17.0, 5.0)	(18.0, 40.0)	(19.0, 131.0)	(20.0, 121.0)	(21.0, 141.0)	(22.0, 125.0)	(23.0, 117.0)	(24.0, 94.0)	(25.0, 97.0)	(26.0, 99.0)	(27.0, 109.0)	(28.0, 150.0)	(29.0, 170.0)	(30.0, 205.0)	(31.0, 208.0)	(32.0, 314.0)	(33.0, 407.0)	(34.0, 683.0)	(35.0, 1245.0)	(36.0, 2601.0)	(37.0, 39785.0)	(38.0, 76608.0)	
ST1D_1	(18.0, 2.0)	(19.0, 8.0)	(20.0, 11.0)	(21.0, 19.0)	(22.0, 20.0)	(23.0, 21.0)	(24.0, 37.0)	(25.0, 62.0)	(26.0, 68.0)	(27.0, 92.0)	(28.0, 100.0)	(29.0, 119.0)	(30.0, 162.0)	(31.0, 188.0)	(32.0, 286.0)	(33.0, 423.0)	(34.0, 646.0)	(35.0, 1150.0)	(36.0, 6227.0)	(37.0, 41552.0)	(38.0, 88093.0)			
ST1D_2	(16.0, 4.0)	(17.0, 7.0)	(18.0, 37.0)	(19.0, 84.0)	(20.0, 118.0)	(21.0, 115.0)	(22.0, 135.0)	(23.0, 105.0)	(24.0, 93.0)	(25.0, 133.0)	(26.0, 132.0)	(27.0, 134.0)	(28.0, 155.0)	(29.0, 152.0)	(30.0, 216.0)	(31.0, 255.0)	(32.0, 333.0)	(33.0, 422.0)	(34.0, 592.0)	(35.0, 1105.0)	(36.0, 2445.0)	(37.0, 49242.0)	(38.0, 83272.0)	
ST1Q_1	(19.0, 5.0)	(20.0, 11.0)	(21.0, 14.0)	(22.0, 15.0)	(23.0, 15.0)	(24.0, 31.0)	(25.0, 54.0)	(26.0, 71.0)	(27.0, 56.0)	(28.0, 66.0)	(29.0, 95.0)	(30.0, 140.0)	(31.0, 170.0)	(32.0, 237.0)	(33.0, 315.0)	(34.0, 484.0)	(35.0, 953.0)	(36.0, 4554.0)	(37.0, 40163.0)	(38.0, 92122.0)				
ST1Q_2	(16.0, 2.0)	(17.0, 6.0)	(18.0, 24.0)	(19.0, 80.0)	(20.0, 102.0)	(21.0, 98.0)	(22.0, 107.0)	(23.0, 75.0)	(24.0, 88.0)	(25.0, 87.0)	(26.0, 84.0)	(27.0, 92.0)	(28.0, 132.0)	(29.0, 131.0)	(30.0, 172.0)	(31.0, 210.0)	(32.0, 247.0)	(33.0, 327.0)	(34.0, 474.0)	(35.0, 938.0)	(36.0, 2096.0)	(37.0, 47754.0)	(38.0, 86245.0)	
ST1Z_1	(18.0, 2.0)	(19.0, 2.0)	(20.0, 15.0)	(21.0, 18.0)	(22.0, 16.0)	(23.0, 25.0)	(24.0, 30.0)	(25.0, 57.0)	(26.0, 74.0)	(27.0, 68.0)	(28.0, 104.0)	(29.0, 119.0)	(30.0, 157.0)	(31.0, 204.0)	(32.0, 295.0)	(33.0, 402.0)	(34.0, 636.0)	(35.0, 1203.0)	(36.0, 3282.0)	(37.0, 41214.0)	(38.0, 87937.0)			
ST1Z_2	(16.0, 1.0)	(17.0, 13.0)	(18.0, 40.0)	(19.0, 92.0)	(20.0, 154.0)	(21.0, 156.0)	(22.0, 153.0)	(23.0, 169.0)	(24.0, 161.0)	(25.0, 179.0)	(26.0, 183.0)	(27.0, 186.0)	(28.0, 231.0)	(29.0, 280.0)	(30.0, 297.0)	(31.0, 363.0)	(32.0, 425.0)	(33.0, 620.0)	(34.0, 861.0)	(35.0, 1513.0)	(36.0, 3139.0)	(37.0, 49381.0)	(38.0, 77263.0)	
ST2D_1	(18.0, 3.0)	(19.0, 8.0)	(20.0, 11.0)	(21.0, 13.0)	(22.0, 28.0)	(23.0, 28.0)	(24.0, 36.0)	(25.0, 51.0)	(26.0, 111.0)	(27.0, 93.0)	(28.0, 117.0)	(29.0, 148.0)	(30.0, 169.0)	(31.0, 194.0)	(32.0, 242.0)	(33.0, 380.0)	(34.0, 658.0)	(35.0, 4056.0)	(36.0, 2745.0)	(37.0, 43250.0)	(38.0, 89057.0)			
ST2D_2	(16.0, 1.0)	(17.0, 5.0)	(18.0, 30.0)	(19.0, 112.0)	(20.0, 124.0)	(21.0, 82.0)	(22.0, 97.0)	(23.0, 97.0)	(24.0, 98.0)	(25.0, 83.0)	(26.0, 103.0)	(27.0, 104.0)	(28.0, 111.0)	(29.0, 132.0)	(30.0, 152.0)	(31.0, 169.0)	(32.0, 258.0)	(33.0, 331.0)	(34.0, 475.0)	(35.0, 877.0)	(36.0, 2146.0)	(37.0, 47382.0)	(38.0, 88429.0)	
