run_id	sample_id	Xaxis	DNA_kit	replicate	matrix_type	taxonomy_method	BLAST	Trimm	Paired	Method	Species2	relative_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Cladosporium_angustisporum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Saccharomyces_cerevisiae	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Mucor_circinelloides	0.0012079683526419892
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Stereaceae_f	0.00774936422718282
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Penicillium_patris-mei	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Bjerkandera_adusta	0.005439389658095507
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Schizophyllum_commune	0.009550720542526137
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Bullera_alba	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Tilletiopsis_washingtonensis	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Candolleomyces_subminutisporus	0.019186210794009607
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Aspergillus_ruber	0.02204012432890647
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Rhizoplaca_novomexicana	3.532071206555524e-5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Other	0.35539700480361686
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Ascomycota_p	0.5882798098379742
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STZ	Zymo	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Fungi_k	0.07547297952847579
