DNA_kit	taxonomic_rank	taxon	Trimm	Paired	n_sample_detected	n_asv	n_sequence	total_reads	mean_relative_abundance	max_relative_abundance	median_sequence_length	mean_sequence_length	median_blast_pident	median_blast_qcovus	median_blast_alignment_length	pct_qiime_species_resolved_asv	pct_qiime_genus_resolved_asv	pct_blast_cutoff_pass_asv	pct_blast_ambiguous_asv
DNeasy	Genus	Suillus	Cutadapt	SE	1	1	1	701	0.5212050916012372	0.5212050916012372	227	227	NA	NA	NA	0	100	0	NA
DNeasy	Genus	Suillus	ITSxpress	PE	1	1	1	698	1.148404080289569	1.148404080289569	235	235	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Suillus	ITSxpress	SE	1	1	1	699	1.1481037399602516	1.1481037399602516	172	172	NA	NA	NA	0	100	0	NA
DNeasy	Genus	Thanatephorus	ITSxpress	PE	1	1	1	1548	2.5468904244817376	2.5468904244817376	228	228	NA	NA	NA	0	100	0	NA
DNeasy	Genus	Trametes	Cutadapt	PE	1	1	1	1001	0.7543046607136129	0.7543046607136129	285	285	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Trametes	Cutadapt	SE	1	1	1	1004	0.7464906019509874	0.7464906019509874	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Trametes	ITSxpress	PE	1	1	1	999	1.6436327739387957	1.6436327739387957	190	190	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Trametes	ITSxpress	SE	1	1	1	1000	1.6424946208301168	1.6424946208301168	173	173	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Udeniomyces	Cutadapt	PE	1	2	2	2132	0.8032854828378735	1.0022229757733319	329.5	329.5	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Udeniomyces	Cutadapt	SE	1	1	1	2139	1.590381870092791	1.590381870092791	228	228	99.561	100	228	100	100	100	0
DNeasy	Genus	Udeniomyces	ITSxpress	PE	1	2	2	2121	1.744817374136229	2.1767028627838103	234.5	234.5	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Udeniomyces	ITSxpress	SE	1	1	1	2124	3.4886585746431678	3.4886585746431678	173	173	99.422	100	173	100	100	100	0
DNeasy	Species	Agaricomycetes_c	Cutadapt	PE	1	1	1	2264	1.7060397121434763	1.7060397121434763	309	309	NA	NA	NA	0	0	0	NA
DNeasy	Species	Ascomycota_p	Cutadapt	PE	1	28	28	53083	1.4285983411110572	37.30379412983685	387	400.17857142857144	NA	NA	NA	0	0	0	NA
DNeasy	Species	Ascomycota_p	Cutadapt	SE	1	27	27	52530	1.4465527268882015	36.94979776350226	301	293.48148148148147	NA	NA	NA	0	0	0	NA
DNeasy	Species	Aspergillus_candidus	Cutadapt	SE	1	1	1	584	0.43421365691172975	0.43421365691172975	228	228	99.123	100	228	0	100	100	100
DNeasy	Species	Aspergillus_neotritici	Cutadapt	PE	1	2	2	582	0.21928337289476657	0.43781319467992913	306.5	306.5	99.1925	100	306.5	100	100	100	100
DNeasy	Species	Aspergillus_neotritici	ITSxpress	PE	1	1	1	584	0.9608423823626193	0.9608423823626193	165	165	NA	NA	NA	100	100	0	NA
DNeasy	Species	Aspergillus_neotritici	ITSxpress	SE	1	1	1	584	0.9592168585647882	0.9592168585647882	165	165	NA	NA	NA	100	100	0	NA
DNeasy	Species	Aspergillus_niger	Cutadapt	PE	1	1	1	240	0.18085226630496215	0.18085226630496215	281	281	99.644	100	281	0	100	100	100
DNeasy	Species	Aspergillus_niger	Cutadapt	SE	1	1	1	240	0.17844396859386152	0.17844396859386152	228	228	99.561	100	228	0	100	100	100
DNeasy	Species	Aspergillus_niger	ITSxpress	PE	1	1	1	240	0.3948667324777887	0.3948667324777887	166	166	99.398	100	166	0	100	100	100
DNeasy	Species	Aspergillus_niger	ITSxpress	SE	1	1	1	240	0.39419870899922804	0.39419870899922804	166	166	99.398	100	166	0	100	100	100
DNeasy	Species	Atheliales_o	Cutadapt	PE	1	1	1	1145	0.8628160204965901	0.8628160204965901	295	295	NA	NA	NA	0	0	0	NA
DNeasy	Species	Atheliales_o	Cutadapt	SE	1	1	1	1148	0.8535569831073043	0.8535569831073043	227	227	NA	NA	NA	0	0	0	NA
DNeasy	Species	Atheliales_o	ITSxpress	PE	1	1	1	1143	1.880552813425469	1.880552813425469	200	200	NA	NA	NA	0	0	0	NA
DNeasy	Species	Atheliales_o	ITSxpress	SE	1	1	1	1143	1.8773713516088235	1.8773713516088235	172	172	NA	NA	NA	0	0	0	NA
DNeasy	Species	Bjerkandera_adusta	Cutadapt	PE	1	1	1	2180	1.6427414189367395	1.6427414189367395	281	281	NA	NA	NA	100	100	0	NA
DNeasy	Species	Bjerkandera_adusta	Cutadapt	SE	1	1	1	2185	1.6245836307399477	1.6245836307399477	228	228	NA	NA	NA	100	100	0	NA
