DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set
QIAamp	PE	Genus	Stereaceae_f	TRUE	TRUE	Shared
QIAamp	PE	Genus	Talaromyces	TRUE	TRUE	Shared
QIAamp	PE	Genus	Trametes	TRUE	TRUE	Shared
QIAamp	PE	Genus	Trechispora	TRUE	TRUE	Shared
QIAamp	PE	Genus	Xeromyces	TRUE	TRUE	Shared
QIAamp	PE	Genus	Xylodon	TRUE	TRUE	Shared
QIAamp	PE	Species	Ascomycota_p	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Aspergillus_ruber	TRUE	TRUE	Shared
QIAamp	PE	Species	Aureobasidium_intercalariosporum	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Aureobasidium_pullulans	TRUE	TRUE	Shared
QIAamp	PE	Species	Biscogniauxia_atropunctata	TRUE	TRUE	Shared
QIAamp	PE	Species	Bjerkandera_adusta	TRUE	TRUE	Shared
QIAamp	PE	Species	Burgoa_g	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Burgoa_verzuoliana	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Candida_dubliniensis	TRUE	TRUE	Shared
QIAamp	PE	Species	Candolleomyces_g	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Candolleomyces_subminutisporus	TRUE	TRUE	Shared
QIAamp	PE	Species	Candolleomyces_sulcatotuberculosus	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Ceriporia_nanlingensis	TRUE	TRUE	Shared
QIAamp	PE	Species	Cladosporium_angustisporum	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Cladosporium_colocasiae	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Cladosporium_colombiae	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Cladosporium_ossifragi	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Cladosporium_tenuissimum	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Crepidotus_g	TRUE	TRUE	Shared
QIAamp	PE	Species	Cystobasidium_slooffiae	TRUE	TRUE	Shared
QIAamp	PE	Species	Daedaleopsis_confragosa	TRUE	TRUE	Shared
QIAamp	PE	Species	Debaryomyces_delbrueckii	TRUE	TRUE	Shared
QIAamp	PE	Species	Didymellaceae_f	TRUE	FALSE	Cutadapt only
QIAamp	PE	Species	Epicoccum_pimprinum	FALSE	TRUE	ITSxpress only
QIAamp	PE	Species	Fungi_k	TRUE	TRUE	Shared
QIAamp	PE	Species	Fuscoporia_karsteniana	TRUE	TRUE	Shared
QIAamp	PE	Species	Helotiales_o	TRUE	TRUE	Shared
