taxon_for_compare	Trimm	Paired	n_asv	n_sequence	total_reads	median_sequence_length	min_sequence_length	max_sequence_length	median_blast_pident	median_blast_qcovus	pct_qiime_species_classified_asv	pct_qiime_phylum_or_higher_asv
Hymenochaetopsis_yasudae	ITSxpress	PE	1	1	1773	206	206	206	NA	NA	100	0
Hymenochaetopsis_yasudae	ITSxpress	SE	1	1	1774	173	173	173	NA	NA	100	0
Irpex_g	ITSxpress	PE	2	2	8008	199	199	199	NA	NA	0	0
Irpex_hacksungii	Cutadapt	SE	5	5	14183	228	228	228	NA	NA	100	0
Irpex_hacksungii	ITSxpress	PE	5	5	14051	207	207	207	NA	NA	100	0
Irpex_hacksungii	ITSxpress	SE	5	5	14121	173	173	173	NA	NA	100	0
Irpex_hydnoides	Cutadapt	PE	5	5	14078	302	302	302	NA	NA	100	0
Irpex_laceratus	Cutadapt	PE	4	4	9930	294	294	294	NA	NA	100	0
Irpex_laceratus	Cutadapt	SE	2	2	9972	228	228	228	NA	NA	100	0
Irpex_laceratus	ITSxpress	PE	1	1	1911	199	199	199	NA	NA	100	0
Irpex_laceratus	ITSxpress	SE	2	2	9938	173	173	173	NA	NA	100	0
Kazachstania_servazzii	Cutadapt	PE	2	2	6647	336	336	336	NA	NA	100	0
Kazachstania_servazzii	Cutadapt	SE	2	2	6665	228	228	228	99.7805	100	100	0
Kazachstania_servazzii	ITSxpress	PE	2	2	6625	241	241	241	99.79249999999999	100	100	0
Kazachstania_servazzii	ITSxpress	SE	2	2	6631	173	173	173	99.711	100	100	0
Lecanorales_o	Cutadapt	PE	3	3	479	382	343	393	NA	NA	0	0
Lecanorales_o	Cutadapt	SE	1	1	22	301	301	301	NA	NA	0	0
Lecanoromycetes_c	Cutadapt	PE	4	4	170	396	358	555	NA	NA	0	0
Lecanoromycetes_c	Cutadapt	SE	2	2	10	301	301	301	NA	NA	0	0
Leucosporidium_intermedium	Cutadapt	PE	1	1	43	319	319	319	100	100	100	0
Leucosporidium_intermedium	Cutadapt	SE	1	1	44	301	301	301	100	100	100	0
Leucosporidium_intermedium	ITSxpress	PE	1	1	43	212	212	212	100	100	100	0
Leucosporidium_intermedium	ITSxpress	SE	1	1	43	212	212	212	100	100	100	0
Malassezia_sympodialis	Cutadapt	PE	1	1	1621	327	327	327	100	100	100	0
Malassezia_sympodialis	Cutadapt	SE	1	1	1625	228	228	228	100	100	100	0
Malassezia_sympodialis	ITSxpress	PE	1	1	1617	232	232	232	100	100	100	0
Malassezia_sympodialis	ITSxpress	SE	1	1	1619	173	173	173	100	100	100	0
Metschnikowia_g	Cutadapt	SE	1	1	8	301	301	301	NA	NA	0	0
Mucor_circinelloides	Cutadapt	PE	2	2	3259	281	281	281	99.46600000000001	100	100	0
Mucor_circinelloides	Cutadapt	SE	2	2	3267	229	229	229	99.5635	100	100	0
Mucor_circinelloides	ITSxpress	PE	2	2	3243	184	184	184	99.457	100	100	0
Mucor_circinelloides	ITSxpress	SE	2	2	3247	174	174	174	100	100	100	0
Mucor_g	Cutadapt	PE	1	1	1292	281	281	281	NA	NA	0	0
Mucor_nidicola	Cutadapt	SE	1	1	1295	229	229	229	NA	NA	100	0
Mucor_nidicola	ITSxpress	PE	1	1	1291	177	177	177	NA	NA	100	0
Mucor_nidicola	ITSxpress	SE	1	1	1292	174	174	174	NA	NA	100	0
Neodidymella_thailandicum	Cutadapt	PE	1	1	3124	281	281	281	100	100	0	0
Neodidymella_thailandicum	Cutadapt	SE	1	1	3214	228	228	228	100	100	0	0
Neodidymella_thailandicum	ITSxpress	PE	1	1	3200	155	155	155	100	100	0	0
Neodidymella_thailandicum	ITSxpress	SE	1	1	3204	155	155	155	100	100	0	0
Nigrospora_g	Cutadapt	PE	2	2	4153	274.5	268	281	NA	NA	0	0
Nigrospora_g	Cutadapt	SE	1	1	4164	228	228	228	NA	NA	0	0
Nigrospora_g	ITSxpress	PE	1	1	4152	153	153	153	NA	NA	0	0
Nigrospora_g	ITSxpress	SE	1	1	4152	153	153	153	NA	NA	0	0
Ophiognomonia_asiatica	Cutadapt	SE	1	1	2358	228	228	228	NA	NA	100	0
Ophiognomonia_g	Cutadapt	PE	1	1	2293	278	278	278	NA	NA	0	0
Ophiognomonia_pseudoischnostyla	ITSxpress	PE	1	1	2355	159	159	159	99.363	99	0	0
Ophiognomonia_pseudoischnostyla	ITSxpress	SE	1	1	2355	159	159	159	99.363	99	0	0
Paragibellulopsis_chrysanthemi	Cutadapt	PE	2	2	1510	282	281	283	NA	NA	100	0
Paragibellulopsis_chrysanthemi	Cutadapt	SE	1	1	1516	228	228	228	NA	NA	100	0
Paragibellulopsis_chrysanthemi	ITSxpress	PE	1	1	1509	169	169	169	NA	NA	100	0
Paragibellulopsis_chrysanthemi	ITSxpress	SE	1	1	1510	169	169	169	NA	NA	100	0
Penicillium_brevicompactum	Cutadapt	PE	3	3	3110	281	274	281	99.644	100	100	0
Penicillium_citrinum	Cutadapt	SE	1	1	911	228	228	228	NA	NA	100	0
Penicillium_citrinum	ITSxpress	PE	1	1	901	171	171	171	NA	NA	100	0
Penicillium_citrinum	ITSxpress	SE	1	1	902	171	171	171	NA	NA	100	0
Penicillium_cuddlyae	Cutadapt	SE	1	1	8	66	66	66	100	100	0	100
Penicillium_g	Cutadapt	PE	1	1	908	281	281	281	NA	NA	0	0
Penicillium_patris-mei	Cutadapt	SE	1	1	3123	228	228	228	100	100	100	0
Penicillium_patris-mei	ITSxpress	PE	1	1	3105	160	160	160	100	100	100	0
Penicillium_patris-mei	ITSxpress	SE	1	1	3110	160	160	160	100	100	100	0
Penicillium_sclerotiorum	Cutadapt	PE	2	2	1288	277	273	281	99.291	100	100	0
Penicillium_sclerotiorum	Cutadapt	SE	1	1	1294	228	228	228	99.127	100	100	0
Penicillium_sclerotiorum	ITSxpress	PE	1	1	1287	159	159	159	100	100	100	0
Penicillium_sclerotiorum	ITSxpress	SE	1	1	1288	159	159	159	100	100	100	0
Penicillium_sumatraense	Cutadapt	PE	2	2	1086	273.5	266	281	99.446	100	100	0
Penicillium_sumatraense	Cutadapt	SE	2	2	1090	228	228	228	99.34200000000001	100	100	0
Penicillium_sumatraense	ITSxpress	PE	2	2	1078	170.5	170	171	99.70750000000001	100	100	0
Penicillium_sumatraense	ITSxpress	SE	2	2	1078	170.5	170	171	99.70750000000001	100	100	0
Peniophoraceae_f	Cutadapt	PE	5	5	9991	286	286	287	NA	NA	0	0
Peniophoraceae_f	Cutadapt	SE	5	5	10024	228	228	228	NA	NA	0	0
Peniophoraceae_f	ITSxpress	PE	5	5	9964	191	191	192	NA	NA	0	0
Peniophoraceae_f	ITSxpress	SE	5	5	9983	173	173	173	NA	NA	0	0
Phanerochaete_livescens	Cutadapt	PE	1	1	1811	295	295	295	100	100	100	0
Phanerochaete_livescens	Cutadapt	SE	1	1	1818	228	228	228	100	100	100	0
Phanerochaete_livescens	ITSxpress	PE	1	1	1804	200	200	200	100	100	100	0
Phanerochaete_livescens	ITSxpress	SE	1	1	1805	173	173	173	100	100	100	0
Phlebiopsis_g	Cutadapt	PE	1	1	1454	302	302	302	NA	NA	0	0
Phlebiopsis_g	Cutadapt	SE	1	1	1459	228	228	228	NA	NA	0	0
Phlebiopsis_g	ITSxpress	PE	1	1	1453	207	207	207	NA	NA	0	0
Phlebiopsis_g	ITSxpress	SE	1	1	1455	173	173	173	NA	NA	0	0
Plagiostoma_g	Cutadapt	PE	1	1	65	272	272	272	NA	NA	0	0
Pleosporales_o	Cutadapt	PE	2	2	1602	272	263	281	NA	NA	0	0
Pleosporales_o	Cutadapt	SE	1	1	1604	228	228	228	NA	NA	0	0
Pleosporales_o	ITSxpress	PE	1	1	1601	148	148	148	NA	NA	0	0
Pleosporales_o	ITSxpress	SE	1	1	1602	148	148	148	NA	NA	0	0
Polyporales_o	Cutadapt	PE	1	1	1688	304	304	304	NA	NA	0	0
Polyporales_o	Cutadapt	SE	1	1	1694	228	228	228	NA	NA	0	0
Polyporales_o	ITSxpress	PE	1	1	1685	209	209	209	NA	NA	0	0
Polyporales_o	ITSxpress	SE	1	1	1687	173	173	173	NA	NA	0	0
Rhizoplaca_novomexicana	Cutadapt	PE	1	1	519	517	517	517	NA	NA	100	0
Rhizoplaca_novomexicana	Cutadapt	SE	2	2	527	262	227	297	NA	NA	100	0
Rhizoplaca_novomexicana	ITSxpress	PE	4	4	3839	208	208	209	NA	NA	100	0
Rhodotorula_mucilaginosa	Cutadapt	PE	1	1	280	311	311	311	100	100	100	0
Rhodotorula_mucilaginosa	Cutadapt	SE	1	1	280	225	225	225	100	100	100	0
Rhodotorula_mucilaginosa	ITSxpress	PE	1	1	277	218	218	218	100	100	100	0
Rhodotorula_mucilaginosa	ITSxpress	SE	1	1	277	171	171	171	100	100	100	0
Saccharomyces_cerevisiae	Cutadapt	PE	1	1	3167	328	328	328	NA	NA	100	0
Saccharomyces_cerevisiae	Cutadapt	SE	1	1	3185	228	228	228	NA	NA	100	0
Saccharomyces_cerevisiae	ITSxpress	PE	1	1	3091	233	233	233	NA	NA	100	0
Saccharomyces_cerevisiae	ITSxpress	SE	1	1	3098	173	173	173	NA	NA	100	0
Sarocladium_zeae	Cutadapt	PE	2	2	973	281	281	281	NA	NA	100	0
Sarocladium_zeae	Cutadapt	SE	1	1	979	228	228	228	NA	NA	100	0
Sarocladium_zeae	ITSxpress	PE	1	1	974	167	167	167	100	100	100	0
Sarocladium_zeae	ITSxpress	SE	1	1	975	167	167	167	100	100	100	0
Schizophyllum_commune	Cutadapt	PE	2	2	2959	334	334	334	NA	NA	100	0
Schizophyllum_commune	Cutadapt	SE	1	1	2970	228	228	228	NA	NA	100	0
Schizophyllum_commune	ITSxpress	PE	2	2	2953	239	239	239	NA	NA	100	0
Schizophyllum_commune	ITSxpress	SE	1	1	2962	173	173	173	NA	NA	100	0
Schizoporaceae_f	Cutadapt	SE	1	1	2274	228	228	228	NA	NA	0	0
Sistotremastrum_guttuliferum	Cutadapt	PE	1	1	1582	290	290	290	100	100	100	0
Sistotremastrum_guttuliferum	Cutadapt	SE	1	1	1584	227	227	227	100	100	100	0
Sistotremastrum_guttuliferum	ITSxpress	PE	1	1	1583	195	195	195	100	100	100	0
Sistotremastrum_guttuliferum	ITSxpress	SE	1	1	1584	172	172	172	100	100	100	0
Sporobolomyces_carnicolor	Cutadapt	PE	1	1	1040	299	299	299	NA	NA	100	0
Sporobolomyces_carnicolor	Cutadapt	SE	1	1	1041	228	228	228	100	100	100	0
Sporobolomyces_carnicolor	ITSxpress	PE	1	1	1037	199	199	199	99.497	100	100	0
Sporobolomyces_carnicolor	ITSxpress	SE	1	1	1038	173	173	173	100	100	100	0
Sporobolomyces_phaffii	Cutadapt	SE	1	1	1802	228	228	228	100	100	0	0
Sporobolomyces_phaffii	ITSxpress	PE	1	1	1794	199	199	199	100	100	0	0
Sporobolomyces_phaffii	ITSxpress	SE	1	1	1796	173	173	173	100	100	0	0
Sporobolomyces_ruberrimus	Cutadapt	PE	1	1	1800	299	299	299	99.666	100	0	0
Steccherinum_tenuissimum	Cutadapt	PE	1	1	1252	295	295	295	NA	NA	100	0
Steccherinum_tenuissimum	Cutadapt	SE	1	1	1260	228	228	228	NA	NA	100	0
Steccherinum_tenuissimum	ITSxpress	PE	1	1	1252	200	200	200	NA	NA	100	0
Steccherinum_tenuissimum	ITSxpress	SE	1	1	1257	173	173	173	NA	NA	100	0
Stereaceae_f	Cutadapt	PE	1	1	3530	300	300	300	NA	NA	0	0
Stereaceae_f	Cutadapt	SE	1	1	3544	228	228	228	NA	NA	0	0
Stereaceae_f	ITSxpress	PE	1	1	3518	205	205	205	NA	NA	0	0
Stereaceae_f	ITSxpress	SE	1	1	3520	173	173	173	NA	NA	0	0
Suillus_g	Cutadapt	SE	1	1	701	227	227	227	NA	NA	0	0
Suillus_g	ITSxpress	SE	1	1	699	172	172	172	NA	NA	0	0
Suillus_viscidus	Cutadapt	PE	1	1	699	330	330	330	NA	NA	100	0
Suillus_viscidus	ITSxpress	PE	1	1	698	235	235	235	NA	NA	100	0
Talaromyces_adpressus	Cutadapt	SE	1	1	854	228	228	228	99.123	100	0	0
Talaromyces_g	ITSxpress	PE	1	1	844	157	157	157	NA	NA	0	0
Talaromyces_g	ITSxpress	SE	1	1	848	157	157	157	NA	NA	0	0
Talaromyces_purgamentorum	Cutadapt	PE	2	2	841	275.5	273	278	99.281	100	100	0
Thanatephorus_g	ITSxpress	PE	1	1	1548	228	228	228	NA	NA	0	0
Tilletiopsis_washingtonensis	Cutadapt	PE	1	1	1845	341	341	341	NA	NA	100	0
Tilletiopsis_washingtonensis	Cutadapt	SE	1	1	1849	228	228	228	NA	NA	100	0
Tilletiopsis_washingtonensis	ITSxpress	PE	1	1	1842	246	246	246	NA	NA	100	0
Tilletiopsis_washingtonensis	ITSxpress	SE	1	1	1843	173	173	173	NA	NA	100	0
Trametes_hirsuta	Cutadapt	PE	1	1	1001	285	285	285	NA	NA	100	0
Trametes_hirsuta	Cutadapt	SE	1	1	1004	228	228	228	NA	NA	100	0
Trametes_hirsuta	ITSxpress	PE	1	1	999	190	190	190	NA	NA	100	0
Trametes_hirsuta	ITSxpress	SE	1	1	1000	173	173	173	NA	NA	100	0
Trametes_pubescens	Cutadapt	PE	1	1	1969	285	285	285	99.301	100	100	0
Trametes_pubescens	Cutadapt	SE	1	1	1975	228	228	228	99.127	100	100	0
Trametes_pubescens	ITSxpress	PE	1	1	1965	190	190	190	NA	NA	100	0
Trametes_pubescens	ITSxpress	SE	1	1	1968	173	173	173	NA	NA	100	0
Trechispora_g	Cutadapt	PE	1	1	198	294	294	294	NA	NA	0	0
Trechispora_g	Cutadapt	SE	2	2	231	228	228	228	NA	NA	0	0
Trechispora_g	ITSxpress	PE	2	2	230	199	199	199	NA	NA	0	0
Trechispora_g	ITSxpress	SE	2	2	230	173	173	173	NA	NA	0	0
Udeniomyces_pyricola	Cutadapt	PE	2	2	2132	329.5	329	330	NA	NA	100	0
Udeniomyces_pyricola	Cutadapt	SE	1	1	2139	228	228	228	99.561	100	100	0
Udeniomyces_pyricola	ITSxpress	PE	2	2	2121	234.5	234	235	NA	NA	100	0
Udeniomyces_pyricola	ITSxpress	SE	1	1	2124	173	173	173	99.422	100	100	0
Xeromyces_bisporus	Cutadapt	PE	1	1	527	281	281	281	100	100	100	0
Xeromyces_bisporus	Cutadapt	SE	1	1	527	228	228	228	100	100	100	0
Xeromyces_bisporus	ITSxpress	PE	1	1	526	174	174	174	100	100	100	0
Xeromyces_bisporus	ITSxpress	SE	1	1	526	173	173	173	100	100	100	0
Xylodon_flaviporus	Cutadapt	PE	1	1	1248	281	281	281	NA	NA	100	0
Xylodon_flaviporus	Cutadapt	SE	1	1	1251	228	228	228	NA	NA	100	0
Xylodon_flaviporus	ITSxpress	PE	1	1	1248	183	183	183	NA	NA	100	0
Xylodon_flaviporus	ITSxpress	SE	1	1	1250	173	173	173	NA	NA	100	0
