run_id	sample_id	DNA_kit	replicate	matrix_type	pipeline	preprocess_method	read_strategy	taxonomy_method	BLAST	Paired	Trimm	Method	method_id	taxonomic_rank	taxon	count	total_reads	relative_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Lecanorales_o	40	132705	3.0142044384160355e-4
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Lecanoromycetes_c	6	132705	4.5213066576240535e-5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Leptosillia	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Leptospora	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Leucosporidium	43	132705	3.240269771297238e-4
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Malassezia	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Mariannaea	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Metschnikowia	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Mollisia	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Mucor	527	132705	0.0039712143476131265
