run_id	sample_id	DNA_kit	replicate	matrix_type	pipeline	preprocess_method	read_strategy	taxonomy_method	BLAST	Paired	Trimm	taxonomic_rank	TP	FP	FN	precision	recall	F1	false_discovery_rate	Bray_Curtis	R2	detection_threshold	Method
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	8	4	2	0.6666666666666666	0.8	0.7272727272727272	0.3333333333333333	0.5030565240168362	0.28337736133343194	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6192027091524808	0.19656412461808484	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	9	2	1	0.8181818181818182	0.9	0.8571428571428572	0.18181818181818182	0.516929930225687	0.3012499153926557	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2Z	Zymo	2	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6107109639495515	0.19272545456621756	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2Z	Zymo	2	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	9	2	1	0.8181818181818182	0.9	0.8571428571428572	0.18181818181818182	0.5087670672272033	0.30576641408724803	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3D	DNeasy	3	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	5	6	5	0.45454545454545453	0.5	0.47619047619047616	0.5454545454545454	0.6084499470054222	0.20269523528625305	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3D	DNeasy	3	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	8	4	2	0.6666666666666666	0.8	0.7272727272727272	0.3333333333333333	0.5061151134391175	0.31423134021584437	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3Q	QIAamp	3	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6264240033470803	0.19029683871280476	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3Q	QIAamp	3	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	9	3	1	0.75	0.9	0.8181818181818182	0.25	0.5239307700846163	0.2917106219555271	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3Z	Zymo	3	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6164572257129047	0.18724364298197374	count_gt_0	ITSx_PE
